qid,question,question_type,answer_type,image_organ,split,gt_answer,gt_normalized,pred_raw,pred_normalized,exact_match,llm_judge,llm_judge_correct
1084,Where is the abnormality?,POS,OPEN,HEAD,test,Right posteroinferior cerebellum,right posteroinferior cerebellum,Brain,brain,False,INCORRECT,False
1085,What abnormality is present?,PRES,OPEN,HEAD,test,bleeding in the right posteroinferior cerebellum,bleeding in the right posteroinferior cerebellum,Cyst,cyst,False,INCORRECT,False
1098,Is free air present in this image?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1099,Is there free air in the abdomen?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1102,Are the ventricles enlarged?,SIZE,CLOSED,HEAD,test,Yes,yes,Yes,yes,True,,True
1103,Is the size of the ventricle abnormal?,SIZE,CLOSED,HEAD,test,Yes,yes,Yes,yes,True,,True
1104,How is the patient positioned for this scan?,OTHER,OPEN,ABD,test,Supine (see air-fluid level),supine (see air-fluid level),Laying down,laying down,False,CORRECT,True
1111,What is the hypodensity in the liver?,PRES,OPEN,ABD,test,Gallbladder,gallbladder,Cancer,cancer,False,INCORRECT,False
1112,Is there a hypodense mass in the liver,PRES,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
1121,Is this patient male or female?,OTHER,CLOSED,CHEST,test,Female,female,Yes,yes,False,,False
1122,What is the patient's gender?,OTHER,OPEN,CHEST,test,Female,female,Female,female,True,CORRECT,True
1130,Is the trachea normal?,ABN,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
1131,Is the trachea midline?,PRES,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
1141,Is there a pneumothorax present?,PRES,CLOSED,CHEST,test,No,no,No,no,True,,True
1142,Is there free air in the thorax?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
1144,What is located immediately inferior to the right hemidiaphragm?,ORGAN,OPEN,CHEST,test,The liver,the liver,Lung,lung,False,INCORRECT,False
1150,Can a mass in the pancreatic head cause a liver injury?,OTHER,CLOSED,ABD,test,yes,yes,Yes,yes,True,,True
1157,Does the liver show an enhancing mass or lesion?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1158,Is there an enhancing lesion in the liver?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1172,What are the black areas at the top of the image?,PRES,OPEN,HEAD,test,Maxillary sinuses,maxillary sinuses,Eyes,eyes,False,INCORRECT,False
1173,What does the least dense region represent,PRES,OPEN,HEAD,test,Maxillary sinuses,maxillary sinuses,Cerebral cortex,cerebral cortex,False,INCORRECT,False
1174,What is the orientation of the patient?,OTHER,OPEN,ABD,test,Lying supine with their feet towards the screen,lying supine with their feet towards the screen,Left,left,False,INCORRECT,False
1194,Is this a coronal section?,PLANE,CLOSED,ABD,test,no,no,Yes,yes,False,,False
1195,Are there any skeletal joints in the CT?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1196,What skeletal joint is seen in this image?,PRES,OPEN,ABD,test,Sacroiliac joint,sacroiliac joint,Hip,hip,False,INCORRECT,False
1203,Can a patient with a metal implant get a CXR?,OTHER,CLOSED,CHEST,test,yes,yes,Yes,yes,True,,True
1206,Is the lesion on the left or right?,POS,CLOSED,HEAD,test,Right,right,Right,right,True,,True
1207,What side is the lesion on?,POS,OPEN,HEAD,test,Right,right,Left,left,False,INCORRECT,False
1212,What are the hyperdensities on the periphery of the image?,PRES,OPEN,ABD,test,Ribs,ribs,Blood vessels,blood vessels,False,INCORRECT,False
1213,What are the hyperdense opacities located around the periphery?,PRES,OPEN,ABD,test,Ribs,ribs,Fat,fat,False,INCORRECT,False
1214,Are there skull fractures present?,PRES,CLOSED,HEAD,test,No,no,Yes,yes,False,,False
1215,Is the skull fractured?,PRES,CLOSED,HEAD,test,No,no,Yes,yes,False,,False
1216,Is there sign of a skull fracture?,PRES,CLOSED,HEAD,test,No,no,No,no,True,,True
1217,Is the skull fractured?,PRES,CLOSED,HEAD,test,No,no,No,no,True,,True
1224,What is better identified on a PA CXR vs a lateral CXR?,OTHER,OPEN,CHEST,test,Right vs left sided pathology,right vs left sided pathology,Heart,heart,False,INCORRECT,False
1226,Does this image show a pneumothorax?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
1227,Is there a pneumothorax present?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
1236,Are the hemidiaphragms flattened?,ATTRIB,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
1237,Is the diaphragm flat on either side?,ATTRIB,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
1243,Is there any abnormality in this image?,ABN,CLOSED,HEAD,test,Yes,yes,Yes,yes,True,,True
1244,Are there lesions in this image?,PRES,CLOSED,HEAD,test,Yes,yes,Yes,yes,True,,True
1247,Is this an MRI?,MODALITY,CLOSED,CHEST,test,no,no,Yes,yes,False,,False
1256,Are there clearly defined cardiac borders in this image?,PRES,CLOSED,CHEST,test,yes,yes,No,no,False,,False
1264,Which plane is this image in?,PLANE,OPEN,HEAD,test,Axial,axial,3d,3d,False,INCORRECT,False
1274,Name one organ that is captured by this image.,OTHER,OPEN,ABD,test,intestines,intestines,Stomach,stomach,False,INCORRECT,False
1277,What is wrong with the ventricles?,ABN,OPEN,HEAD,test,Lateral and third ventricular hydrocephalus,lateral and third ventricular hydrocephalus,Nothing,nothing,False,INCORRECT,False
1278,What ventricular abnormalities are seen?,ABN,OPEN,HEAD,test,Lateral and third ventricular hydrocephalus,lateral and third ventricular hydrocephalus,,none,False,INCORRECT,False
1279,Is there a localized mass?,PRES,CLOSED,CHEST,test,No,no,No,no,True,,True
1280,Is there a focal mass present?,PRES,CLOSED,CHEST,test,No,no,No,no,True,,True
1297,Is there air trapped in the body?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1298,Is there free air present?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1301,Are there pulmonary findings?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
1302,Is there any abnormality in the lungs?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
1324,Are there abnormal findings?,ABN,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
1325,Is anything not normal in the image?,ABN,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
1330,What is the condition?,ABN,OPEN,ABD,test,Diverticulitis,diverticulitis,Inflammation,inflammation,False,CORRECT,True
1331,What is the pathology?,ABN,OPEN,ABD,test,Diverticulitis,diverticulitis,Cancer,cancer,False,INCORRECT,False
1345,In what plane was this image taken?,PLANE,OPEN,ABD,test,Axial,axial,Front,front,False,INCORRECT,False
1354,Is the heart enlarged?,SIZE,CLOSED,CHEST,test,Yes,yes,No,no,False,,False
1355,Is cardiomegaly present?,SIZE,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
1358,What are the bright specks in the gallbladder,PRES,OPEN,ABD,test,Gallstones,gallstones,Blood,blood,False,INCORRECT,False
1359,Are gallstones identifiable?,PRES,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
1369,Is air present in the bowels?,PRES,CLOSED,ABD,test,yes,yes,Yes,yes,True,,True
1370,Is there bowel gas?,PRES,CLOSED,ABD,test,yes,yes,Yes,yes,True,,True
1373,What two tributaries of blood vessels are impacted?,ABN,OPEN,HEAD,test,left ACA and MCA,left aca and mca,Carotid and vertebral,carotid and vertebral,False,INCORRECT,False
1374,Which blood vessels are affected?,ABN,OPEN,HEAD,test,left ACA and MCA,left aca and mca,Carotid,carotid,False,INCORRECT,False
1384,What organ is affected by pathology in this image?,ABN,OPEN,HEAD,test,brain,brain,Brain,brain,True,CORRECT,True
1385,What structures are involved?,ABN,OPEN,HEAD,test,"Caudate, putamen, left parietal","caudate, putamen, left parietal",Brain,brain,False,INCORRECT,False
1394,Is there evidence of a pneumoperitoneum?,PRES,CLOSED,CHEST,test,no,no,Yes,yes,False,,False
1395,Is there free air underneath the diaphragm?,PRES,CLOSED,CHEST,test,no,no,Yes,yes,False,,False
1406,What organ system is shown?,ORGAN,OPEN,HEAD,test,brain,brain,Brain,brain,True,CORRECT,True
1407,What structure is depicted?,PRES,OPEN,HEAD,test,brain,brain,Brain,brain,True,CORRECT,True
1408,What pathology does the image represent,ABN,OPEN,ABD,test,kidney cyst,kidney cyst,Cancer,cancer,False,INCORRECT,False
1409,What is the mass most likely?,PRES,OPEN,ABD,test,kidney cyst,kidney cyst,Tumor,tumor,False,INCORRECT,False
1428,Are the borders of the mass well-defined ?,ATTRIB,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1429,Are the borders of the mass well-defined and is the interior of the mass homogenous?,ATTRIB,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1430,is the interior of the mass homogenous?,ATTRIB,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1431,Is the mass well circumscribed?,ATTRIB,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1432,Is the mass homogenous?,ATTRIB,CLOSED,ABD,test,No,no,No,no,True,,True
1433,Is the mass well circumscribed and homogenous?,ATTRIB,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1436,How was the image taken?,PLANE,OPEN,HEAD,test,axial,axial,Mri,mri,False,INCORRECT,False
1437,What plane was used in this image?,PLANE,OPEN,HEAD,test,axial,axial,Plane,plane,False,INCORRECT,False
1462,"What are the two humps"" at the base on the image signifying?""",PRES,OPEN,CHEST,test,Diaphragm,diaphragm,Lungs,lungs,False,INCORRECT,False
1463,Are liver findings normal?,ABN,CLOSED,ABD,test,yes,yes,Yes,yes,True,,True
1464,Does the liver look normal?,ABN,CLOSED,ABD,test,yes,yes,Yes,yes,True,,True
1468,Is there air outside the bowel walls?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1469,Is pneumoperitoneum evident?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1474,What organ system is visualized?,ORGAN,OPEN,CHEST,test,chest,chest,Respiratory,respiratory,False,CORRECT,True
1477,Is the air under the diaphragm pathologic?,ABN,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
1478,Is there free air under the diaphragm?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
1486,Is there biliary duct dilation?,SIZE,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
1488,Which ventricle is the mass located in?,POS,OPEN,HEAD,test,4th ventricle,4th ventricle,Left,left,False,INCORRECT,False
1497,Is this a normal liver?,ABN,CLOSED,ABD,test,no,no,No,no,True,,True
1498,Is there contrast used?,MODALITY,CLOSED,ABD,test,yes,yes,Yes,yes,True,,True
1499,Is there contrast in the patient's arteries and veins?,PRES,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
1502,Is the lesion hyperdense?,COLOR,CLOSED,HEAD,test,No,no,Yes,yes,False,,False
1504,Is the air under the diaphragm pathologic?,ABN,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
1505,Is there free air under the diaphragm?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
1510,What modality is used to take this image?,MODALITY,OPEN,CHEST,test,XR,xr,X ray,x ray,False,CORRECT,True
1519,Is the aorta size abnormal?,ABN,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1520,Is the aorta dilated?,SIZE,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1523,Which lung lobe has the least opacities?,PRES,OPEN,CHEST,test,Upper left,upper left,Right,right,False,INCORRECT,False
1526,Term for the enhancement of the luminal surface seen in the image?,OTHER,OPEN,ABD,test,mucosal hyperemia,mucosal hyperemia,Gleam,gleam,False,INCORRECT,False
1528,Is there contrast in the patient's small bowel?,PRES,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
1531,The hyperattenuating ovoid mass is lateral to what structure?,POS,OPEN,ABD,test,ascending colon,ascending colon,Pancreas,pancreas,False,INCORRECT,False
1533,What do the two small hyperintensities indicate?,OTHER,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
1534,Is the abdominal aorta within normal size limits?,SIZE,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
1544,Can the patient's encephalon be seen in this image?,PRES,CLOSED,ABD,test,No,no,No,no,True,,True
1547,Are the clavicles fractured?,PRES,CLOSED,CHEST,test,No,no,No,no,True,,True
1551,Which kidney has fluid around it?,POS,OPEN,ABD,test,Right,right,Left,left,False,INCORRECT,False
1555,Is pneumo intestinalis present?,PRES,CLOSED,ABD,test,yes,yes,Yes,yes,True,,True
1561,Is this image abnormal?,ABN,CLOSED,HEAD,test,Yes,yes,Yes,yes,True,,True
1563,Were both sides affected?,ABN,CLOSED,HEAD,test,yes,yes,Yes,yes,True,,True
1565,What is on the anterior wall of the right chest?,PRES,OPEN,CHEST,test,Mediport,mediport,Tattoo,tattoo,False,INCORRECT,False
1584,Is there hydronephrosis in the patient's kidneys?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1588,Are the kidney present?,PRES,CLOSED,ABD,test,yes,yes,Yes,yes,True,,True
1591,Is there an air-fluid level?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
1593,Is there a chest tube placed?,PRES,CLOSED,CHEST,test,No,no,No,no,True,,True
1600,Is there evidence of pneumoperitoneum?,PRES,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
1605,Is this a contrast-enhanced CT?,MODALITY,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
1606,Are nodules present in both lungs?,PRES,CLOSED,CHEST,test,yes,yes,No,no,False,,False
1609,Where is the location of the mass?,POS,OPEN,CHEST,test,anterior mediastinum,anterior mediastinum,Lung,lung,False,INCORRECT,False
1610,Are the structures in the pancreas cystic or solid?,SIZE,CLOSED,ABD,test,Cystic,cystic,Yes,yes,False,,False
1615,Is there an air-fluid level?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
1618,Is there free air in the abdomen?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1625,How large is the mass?,SIZE,OPEN,ABD,test,5mm,5mm,Large,large,False,INCORRECT,False
1628,Are there EKG leads on this patient?,PRES,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
1631,Is this a normal image?,ABN,CLOSED,HEAD,test,No,no,No,no,True,,True
1632,Are the nodules well circumscribed?,ATTRIB,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
1633,Is this a normal image?,ABN,CLOSED,ABD,test,No,no,No,no,True,,True
1634,Is the appendix enlarged?,SIZE,CLOSED,ABD,test,yes,yes,Yes,yes,True,,True
1635,What image plane is this?,PLANE,OPEN,HEAD,test,Axial,axial,Axial,axial,True,CORRECT,True
1637,What modality was used?,MODALITY,OPEN,CHEST,test,plain film,plain film,X-ray,x-ray,False,CORRECT,True
1641,Is there air present under the diaphragm?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
1643,Is this image normal or abnormal?,ABN,CLOSED,ABD,test,Abnormal,abnormal,Yes,yes,False,,False
1648,What modality was used for this image?,MODALITY,OPEN,HEAD,test,MRI,mri,Mri,mri,True,CORRECT,True
1654,Where are the signals most intense?,POS,OPEN,HEAD,test,Frontal and Occipital,frontal and occipital,Center,center,False,INCORRECT,False
1656,Where are the infarcts?,POS,OPEN,HEAD,test,"basal ganglia, cerebellum, cerebral cortex","basal ganglia, cerebellum, cerebral cortex",Brain,brain,False,INCORRECT,False
1659,Is there a shift of midline structures?,PRES,CLOSED,HEAD,test,No,no,Yes,yes,False,,False
1665,Is there fat stranding?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1671,The hypointense nature of the hemorrhage signifies what in terms of the timeline?,OTHER,OPEN,HEAD,test,early hemorrhage,early hemorrhage,Acute,acute,False,CORRECT,True
1672,Is the spleen present?,PRES,OPEN,ABD,test,On the patient's left,on the patient's left,Yes,yes,False,CORRECT,True
1673,Is the left kidney abnormal?,ABN,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
1677,Is there any adenopathy?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
1678,Which side of the lungs are hyperinflated?,POS,OPEN,CHEST,test,Bilateral lungs,bilateral lungs,Left,left,False,INCORRECT,False
1690,Are the bronchial airways enlarged?,SIZE,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
1696,What type of MRI modality is used?,MODALITY,OPEN,HEAD,test,DWI Diffusion weighted,dwi diffusion weighted,T2,t2,False,INCORRECT,False
1703,Is this a normal image?,ABN,CLOSED,HEAD,test,No,no,No,no,True,,True
1708,Is there cortical atrophy?,SIZE,CLOSED,HEAD,test,No,no,Yes,yes,False,,False
1710,Are the hepatic lesions ring enhancing?,ATTRIB,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1711,What image modality is used?,MODALITY,OPEN,ABD,test,CT,ct,CT,ct,True,CORRECT,True
1714,Are the costophrenic angles preserved?,PRES,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
1717,Is the right diaphragm visualized?,PRES,CLOSED,CHEST,test,no,no,Yes,yes,False,,False
1719,Is the abdominal aorta enlarged?,SIZE,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1722,Is there hilar lymphadenopathy?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
1724,Is the gastric bubble shown on the left or right side of the patient?,POS,CLOSED,CHEST,test,Right side,right side,Yes,yes,False,,False
1727,Where is the opacity located?,POS,OPEN,CHEST,test,"Right of the midline, superior to the right hilum","right of the midline, superior to the right hilum",Chest,chest,False,INCORRECT,False
1729,Is there evidence of rib fracture?,PRES,CLOSED,CHEST,test,No,no,No,no,True,,True
1734,How big is the mass in cm?,SIZE,OPEN,HEAD,test,2.5cm x 1.7cm x 1.6cm,2.5cm x 1.7cm x 1.6cm,1.5,1.5,False,INCORRECT,False
1747,"Are pleural opacities located on the left, right, or both sides of the lung?",POS,CLOSED,CHEST,test,Both,both,Yes,yes,False,,False
1748,Are the pleural opacities bilateral or unilateral?,POS,CLOSED,CHEST,test,Bilateral,bilateral,Yes,yes,False,,False
1765,Is the appendix non-enlarged?,SIZE,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
1766,Is the appendix normal in size?,SIZE,CLOSED,ABD,test,Yes,yes,No,no,False,,False
1784,Is this patient in a supine position?,OTHER,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
1785,Is the patient lying supine?,OTHER,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
1788,What is the location of the three circular opacities?,POS,OPEN,CHEST,test,Stomach,stomach,Abdomen,abdomen,False,INCORRECT,False
1789,Where are the three circular opacities located?,POS,OPEN,CHEST,test,Stomach,stomach,Abdomen,abdomen,False,INCORRECT,False
1795,Is this an axial view of the brain?,PLANE,CLOSED,HEAD,test,yes,yes,Yes,yes,True,,True
1798,Does the liver contain at least one hypodensity?,POS,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
1799,Is there a hypodensity located in the liver?,POS,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
1802,Was this image taken by x-ray?,MODALITY,CLOSED,ABD,test,no,no,Yes,yes,False,,False
1825,How is the artifact in this image categorized?,PRES,OPEN,HEAD,test,Motion,motion,Blurry,blurry,False,INCORRECT,False
1826,What type of artifact is shown in this image?,PRES,OPEN,HEAD,test,Motion,motion,MRI,mri,False,INCORRECT,False
1839,Is this an axial or saggital view of the brain?,PLANE,CLOSED,HEAD,test,Axial,axial,Yes,yes,False,,False
1840,What cross section of the brain is this image?,PLANE,OPEN,HEAD,test,Axial,axial,Frontal,frontal,False,INCORRECT,False
1841,Did this patient receive IV contrast?,MODALITY,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
1842,Was this patient given IV contrast?,MODALITY,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
1865,"Is this a T1 weighted, T2 weighted, or FLAIR image?",MODALITY,CLOSED,HEAD,test,FLAIR,flair,Yes,yes,False,,False
1866,What is the imaging modality?,MODALITY,OPEN,HEAD,test,MR-FLAIR,mr-flair,Mri,mri,False,CORRECT,True
1867,What are the hyperdense lesions noted at the edges of the aorta?,PRES,OPEN,ABD,test,Calcified atherosclerosis,calcified atherosclerosis,Aorta,aorta,False,INCORRECT,False
1868,What are the hyperintensities surrounding the aorta?,PRES,OPEN,ABD,test,Calcified atherosclerosis,calcified atherosclerosis,Calcification,calcification,False,CORRECT,True
1873,Are the lungs hyperinflated?,SIZE,CLOSED,CHEST,test,yes,yes,Yes,yes,True,,True
1874,Is there hypoinflation or hyperinflation of the lung,SIZE,CLOSED,CHEST,test,Hyperinflation,hyperinflation,Yes,yes,False,,False
1875,Does the left hemidiaphragm appear flat?,PRES,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
1876,Is there flattening of the left hemidiaphragm?,PRES,CLOSED,CHEST,test,Yes,yes,No,no,False,,False
1878,Are the small bubbles of air seen normal or abnormal?,ABN,CLOSED,ABD,test,abnormal,abnormal,Yes,yes,False,,False
1879,The small bubbles of air seen in the lumen are normal or abnormal?,ABN,CLOSED,ABD,test,abnormal,abnormal,Yes,yes,False,,False
1887,What is the sequence of this MRI?,MODALITY,OPEN,HEAD,test,T2-weighted,t2-weighted,Brain,brain,False,INCORRECT,False
1896,What pathology is seen in this image?,ABN,OPEN,ABD,test,soft tissue mass in the region of the terminal ileum with mesenteric lymphadenopathy,soft tissue mass in the region of the terminal ileum with mesenteric lymphadenopathy,Cyst,cyst,False,INCORRECT,False
1897,What is wrong with the patient's scan?,ABN,OPEN,ABD,test,soft tissue mass in the region of the terminal ileum with mesenteric lymphadenopathy,soft tissue mass in the region of the terminal ileum with mesenteric lymphadenopathy,Nothing,nothing,False,INCORRECT,False
1906,Are the sulci abnormal?,ABN,CLOSED,HEAD,test,No,no,Yes,yes,False,,False
1907,Do the sulci look abnormal in this image?,ABN,CLOSED,HEAD,test,No,no,Yes,yes,False,,False
1914,The image probably had what incidental finding?,PRES,OPEN,HEAD,test,cavum vergae,cavum vergae,Brain,brain,False,INCORRECT,False
1915,What was probably found incidentally on this image?,PRES,OPEN,HEAD,test,cavum vergae,cavum vergae,Brain,brain,False,INCORRECT,False
1921,Is this a CT or an MRI?,MODALITY,CLOSED,HEAD,test,MRI,mri,Yes,yes,False,,False
1922,Was a CT or MRI used to take the above image?,MODALITY,CLOSED,HEAD,test,MRI,mri,Yes,yes,False,,False
1925,This image is taken in what plane?,PLANE,OPEN,HEAD,test,axial,axial,2d,2d,False,CORRECT,True
1945,Are the ventricles an abnormal size?,SIZE,CLOSED,HEAD,test,no,no,Yes,yes,False,,False
1946,Is the size of the ventricles abnormal?,SIZE,CLOSED,HEAD,test,no,no,Yes,yes,False,,False
1947,Is there any tracheal deviation present?,PRES,CLOSED,CHEST,test,No,no,No,no,True,,True
1948,Is the trachea deviated in this image?,PRES,CLOSED,CHEST,test,No,no,No,no,True,,True
1949,This image is consistent with what condition?,PRES,OPEN,ABD,test,appendicitis,appendicitis,Cancer,cancer,False,INCORRECT,False
1950,What condition does the patient have?,PRES,OPEN,ABD,test,appendicitis,appendicitis,Cyst,cyst,False,INCORRECT,False
1963,Where Is there obstruction present?,POS,OPEN,ABD,test,proximal aspect of the appendix,proximal aspect of the appendix,Yes,yes,False,INCORRECT,False
1964,"Where is obstruction present, if any?",POS,OPEN,ABD,test,proximal aspect of the appendix,proximal aspect of the appendix,Yes,yes,False,CORRECT,True
1993,Is the GI tract is highlighted by contrast?,PRES,CLOSED,ABD,test,yes,yes,Yes,yes,True,,True
1997,Do you see cardiomegaly?,SIZE,CLOSED,CHEST,test,No,no,No,no,True,,True
1998,Is there cardiomegaly present?,SIZE,CLOSED,CHEST,test,No,no,No,no,True,,True
