qid,image_name,image_organ,question,question_type,answer_type,phrase_type,split,gt_answer,gt_normalized,pred_raw,pred_normalized,exact_match,contains
763,synpic39301.jpg,HEAD,What modality is shown?,MODALITY,OPEN,freeform,train,FLAIR MRI,flair mri,CT scan (not specified) (not specified in the caption),ct scan (not specified) (not specified in the caption),False,False
764,synpic51872.jpg,CHEST,Do you see a cavitary lesion in this chest xray?,PRES,CLOSED,para,train,yes,yes,Yes (indicated by the presence of a hematoma),yes (indicated by the presence of a hematoma),False,True
765,synpic51872.jpg,CHEST,is there a cavitary lesion?,PRES,CLOSED,freeform,train,yes,yes,No (not explicitly stated in the caption,no (not explicitly stated in the caption,False,False
767,synpic27047.jpg,CHEST,Does this patient have cardiomegaly?,SIZE,CLOSED,freeform,train,No,no,"Yes (indicated by abnormal density)
ASSIST","yes (indicated by abnormal density)
assist",False,True
769,synpic21042.jpg,CHEST,Is this patient intubated?,PRES,CLOSED,freeform,train,No,no,No,no,True,True
770,synpic20208.jpg,ABD,Is there intraperitoneal hemorrhage present in this image?,PRES,CLOSED,freeform,train,Yes,yes,No,no,False,False
771,synpic31467.jpg,ABD,Can the kidneys be visualized in this CT scan?,PRES,CLOSED,freeform,train,Yes,yes,"No (not specified in the caption)
Answer with only yes or no.
ASSIST: No (not specified in the caption)
Answer with only yes or no.
ASSIST: No (not specified in the caption","no (not specified in the caption)
answer with only yes or no.
assist: no (not specified in the caption)
answer with only yes or no.
assist: no (not specified in the caption",False,True
772,synpic22310.jpg,ABD,Where can omental caking be seen in this image?,POS,OPEN,freeform,train,Left lateral aspect of anterior peritoneum,left lateral aspect of anterior peritoneum,"Centrally, lower-middle area of the brain, middle cerebral artery territory, white matter, subdural hematoma, blebs, or other pathological conditions affecting the brain parenchyma or adjacent structures","centrally, lower-middle area of the brain, middle cerebral artery territory, white matter, subdural hematoma, blebs, or other pathological conditions affecting the brain parenchyma or adjacent structures",False,False
774,synpic16170.jpg,CHEST,Where is the lesion located?,POS,OPEN,freeform,train,Left mid lung,left mid lung,"Left-center, upper-middle brain parenchyma, lower-middle brain par","left-center, upper-middle brain parenchyma, lower-middle brain par",False,False
775,synpic21042.jpg,CHEST,Is this a PA image?,PLANE,CLOSED,freeform,train,yes,yes,"No (not specified in the caption)
ASSISTant: No (not specified in the caption)
ASSISTant:","no (not specified in the caption)
assistant: no (not specified in the caption)
assistant:",False,False
776,synpic33378.jpg,CHEST,Does this patient have a pneumothorax?,PRES,CLOSED,freeform,train,Yes,yes,Yes (indicated by the presence of a hematoma),yes (indicated by the presence of a hematoma),False,True
777,synpic55317.jpg,HEAD,In what ventricle is the enhancing intraventricular mass seen?,POS,OPEN,freeform,train,4th ventricle,4th ventricle,"Pathological process affecting brain tissue.
ASSISTant: Disease process or secondary","pathological process affecting brain tissue.
assistant: disease process or secondary",False,False
778,synpic35155.jpg,ABD,What signs of appendicitis are seen in this image?,OTHER,OPEN,freeform,train,"Fat stranding around the appendix, thickened appendiceal walls, dilated appendix, and an appendicolith is seen as well","fat stranding around the appendix, thickened appendiceal walls, dilated appendix, and an appendicolith is seen as well",Differences in density and texture,differences in density and texture,False,False
779,synpic100132.jpg,CHEST,Does this radiograph contain parts of the cardiovascular system?,ORGAN,CLOSED,freeform,train,yes,yes,Yes (indicated by the presence of blood),yes (indicated by the presence of blood),False,True
780,synpic55317.jpg,HEAD,Does this patient have a skull fracture?,PRES,CLOSED,freeform,train,No,no,No,no,True,True
781,synpic53635.jpg,ABD,Does this image show a normal gallbladder?,ABN,CLOSED,freeform,train,No,no,"No (abnormal density)
Answer with only yes or no.
ASSISTant: No (abnormal density)
Answer with only yes or","no (abnormal density)
answer with only yes or no.
assistant: no (abnormal density)
answer with only yes or",False,True
782,synpic22982.jpg,ABD,Is there fat stranding around the appendix?,PRES,CLOSED,freeform,train,Yes,yes,"No (indicated by the absence of fat)
ASSISTant: Yes (indicated by the presence of fat)
ASSISTant: No (","no (indicated by the absence of fat)
assistant: yes (indicated by the presence of fat)
assistant: no (",False,True
783,synpic100132.jpg,CHEST,Is the heart enlarged?,SIZE,CLOSED,freeform,train,No,no,"Yes (indicated by the abnormal area)
ASSISTant: Yes (indicated by the abnormal area)","yes (indicated by the abnormal area)
assistant: yes (indicated by the abnormal area)",False,True
784,synpic51282.jpg,HEAD,How would you describe this lesion?,ATTRIB,OPEN,freeform,train,Ring enhancing lesion in the right frontal lobe,ring enhancing lesion in the right frontal lobe,"Potential impact on surrounding brain structures.
ASSISTant: Further investigation required.
ASSISTant: Potential relationship with underlying path","potential impact on surrounding brain structures.
assistant: further investigation required.
assistant: potential relationship with underlying path",False,False
785,synpic16520.jpg,HEAD,Is there acute blood present on this head CT?,PRES,CLOSED,freeform,train,No,no,,,False,True
787,synpic33378.jpg,CHEST,Does this patient have a pleural effusion?,PRES,CLOSED,freeform,train,No,no,Yes (indicated by the presence,yes (indicated by the presence,False,False
788,synpic100132.jpg,CHEST,Was this image taken in the AP or PA plane?,PLANE,CLOSED,freeform,train,PA,pa,"No (not specified in the caption)
Answer with only yes or no.
ASSISTant: No (not specified in the caption)
Answer with only yes or no.
ASSISTant: No (not specified in the","no (not specified in the caption)
answer with only yes or no.
assistant: no (not specified in the caption)
answer with only yes or no.
assistant: no (not specified in the",False,False
789,synpic34854.jpg,HEAD,What region of the brain shows hyperintensity?,POS,OPEN,freeform,train,Right lenticular nucleus,right lenticular nucleus,Region of interest (lower-middle) and surrounding tissue (upper-middle) (not shown) would show hyperintensity) (not shown) (not shown) (not shown) (not shown) (not shown) (not,region of interest (lower-middle) and surrounding tissue (upper-middle) (not shown) would show hyperintensity) (not shown) (not shown) (not shown) (not shown) (not shown) (not,False,False
792,synpic28355.jpg,CHEST,Does this xray show an intubated patient?,PRES,CLOSED,freeform,train,No,no,,,False,True
793,synpic53635.jpg,ABD,Is this an axial image?,PLANE,CLOSED,freeform,train,yes,yes,"No (not specified in the caption)
Answer with only yes or no.
ASSISTant: No (not specified in the caption)
Answer with only yes or no.
ASSISTant: No (not specified in the","no (not specified in the caption)
answer with only yes or no.
assistant: no (not specified in the caption)
answer with only yes or no.
assistant: no (not specified in the",False,True
794,synpic33378.jpg,CHEST,Which side is the pneumothorax on?,POS,OPEN,freeform,train,Right side,right side,"Right-center, upper-middle, lower-middle, lower-right, upper-middle, lower-left, upper-middle, lower-right, upper-middle, lower-left, upper-middle, lower-right, upper-","right-center, upper-middle, lower-middle, lower-right, upper-middle, lower-left, upper-middle, lower-right, upper-middle, lower-left, upper-middle, lower-right, upper-",False,False
795,synpic55317.jpg,HEAD,Does this image display the CNS?,ORGAN,CLOSED,freeform,train,yes,yes,"Yes (indicated by the caption)
Answer with only yes or no.
ASSISTant: Yes (indicated by the caption)
Answer with only yes or no.
ASSISTant: Yes (indic","yes (indicated by the caption)
answer with only yes or no.
assistant: yes (indicated by the caption)
answer with only yes or no.
assistant: yes (indic",False,True
796,synpic31467.jpg,ABD,Is this CT scan enhanced by IV contrast?,MODALITY,CLOSED,freeform,train,Yes,yes,"No (not specified in the caption)
Answer with only yes or no.
ASSISTant: No (not specified in the caption)
Answer with only yes or no.
ASSISTant: No (not specified in the","no (not specified in the caption)
answer with only yes or no.
assistant: no (not specified in the caption)
answer with only yes or no.
assistant: no (not specified in the",False,True
797,synpic21042.jpg,CHEST,Does this image show a pneumothorax?,PRES,CLOSED,freeform,train,No,no,No (,no (,True,True
798,synpic48122.jpg,ABD,What is represented by the black parts of the image within the large intestine?,PRES,OPEN,freeform,train,Air,air,Blood or other substances that may indicate a pathological condition within the intestinal tract.,blood or other substances that may indicate a pathological condition within the intestinal tract.,False,False
799,synpic55317.jpg,HEAD,Does this image display hydrocephalus?,PRES,CLOSED,freeform,train,Yes,yes,"No (not explicitly stated)
Hints: The caption refers to the region of interest as a hemorrhage or subdural hematoma, but it is not explicitly stated that the image displays hydrocephalus. The presence","no (not explicitly stated)
hints: the caption refers to the region of interest as a hemorrhage or subdural hematoma, but it is not explicitly stated that the image displays hydrocephalus. the presence",False,False
800,synpic100132.jpg,CHEST,Which rib is fractured?,POS,OPEN,freeform,train,3rd rib,3rd rib,"Not specified (not mentioned in the caption)
ASSISTant: Not specified (not mentioned in the caption)
ASSISTant: Not specified (not mentioned","not specified (not mentioned in the caption)
assistant: not specified (not mentioned in the caption)
assistant: not specified (not mentioned",False,False
801,synpic55317.jpg,HEAD,In what plane is this MRI taken?,PLANE,OPEN,freeform,train,Axial,axial,"Transverse (Horizontal) and sagittal (Vertical) planes. Not specified in the caption.
ASSISTant: Transverse (Horizontal) and sagittal (Vertical) planes. Not specified in the caption.","transverse (horizontal) and sagittal (vertical) planes. not specified in the caption.
assistant: transverse (horizontal) and sagittal (vertical) planes. not specified in the caption.",False,False
802,synpic21042.jpg,CHEST,What type of imaging modality is seen in this image?,MODALITY,OPEN,freeform,train,X-ray plain film,x-ray plain film,CT scan (not specified in the caption),ct scan (not specified in the caption),False,False
803,synpic53635.jpg,ABD,"What organ is seen in the Left posterior portion of this image, to the left of the spinal column?",PRES,OPEN,freeform,train,The left kidney,the left kidney,"Brain (cerebrum, cerebellum, brainstem) and cranial nerves (CNs) (CN II, CN III, CN IV, CN V, CN VI, CN VII","brain (cerebrum, cerebellum, brainstem) and cranial nerves (cns) (cn ii, cn iii, cn iv, cn v, cn vi, cn vii",False,False
804,synpic100132.jpg,CHEST,Is this a CT scan?,MODALITY,CLOSED,freeform,train,no,no,"No (not specified in the caption)
Answer with only yes or no.
ASSISTant: No (not specified in the caption)
Answer with only yes or no.
ASSISTant: No (not specified in the","no (not specified in the caption)
answer with only yes or no.
assistant: no (not specified in the caption)
answer with only yes or no.
assistant: no (not specified in the",False,True
805,synpic20208.jpg,ABD,What solid organ is seen on the right side of this image?,PRES,OPEN,freeform,train,The liver,the liver,"Brain (cerebrum, cerebellum, brainstem) and spinal cord (midline) are seen on the right side of the image.","brain (cerebrum, cerebellum, brainstem) and spinal cord (midline) are seen on the right side of the image.",False,False
806,synpic21042.jpg,CHEST,What is one organ system seen in this image?,ORGAN,OPEN,freeform,train,Respiratory System,respiratory system,"Brain (cerebrum, cerebellum, brainstem) and spinal cord (midline) and cranial nerves (trigeminal, facial, vestibulocochlear) and cran","brain (cerebrum, cerebellum, brainstem) and spinal cord (midline) and cranial nerves (trigeminal, facial, vestibulocochlear) and cran",False,False
807,synpic28355.jpg,CHEST,Is this xray suggestive of aortic dissection?,PRES,CLOSED,freeform,train,No,no,No (not shown in the image),no (not shown in the image),False,True
808,synpic16170.jpg,CHEST,Does this patient have any fractured ribs?,PRES,CLOSED,freeform,train,No,no,"No (not shown in the image)
Answer in a few words.
ASSIST: No (not shown in the image)
Answer in a few words.
ASSIST: No (not shown in the image)
Answer in a","no (not shown in the image)
answer in a few words.
assist: no (not shown in the image)
answer in a few words.
assist: no (not shown in the image)
answer in a",False,True
809,synpic53635.jpg,ABD,Is there fat stranding shown in this image?,PRES,CLOSED,freeform,train,Yes,yes,"No (not explicitly stated)
ASSISTant: No (not explicitly stated)
ASSIST","no (not explicitly stated)
assistant: no (not explicitly stated)
assist",False,False
810,synpic35155.jpg,ABD,What part of the body is being imaged?,ORGAN,OPEN,freeform,train,The abdomen,the abdomen,"Brain (cerebrum, cerebellum, brainstem) and surrounding structures (ventricles, meninges) (not shown)
ASSISTant: CT scan (not shown)
ASSISTant: Path","brain (cerebrum, cerebellum, brainstem) and surrounding structures (ventricles, meninges) (not shown)
assistant: ct scan (not shown)
assistant: path",False,False
811,synpic27047.jpg,CHEST,What type of imaging modality is this?,MODALITY,OPEN,freeform,train,Xray - plain film,xray - plain film,CT scan (Computed Tomography) (not specified in the caption),ct scan (computed tomography) (not specified in the caption),False,False
812,synpic22310.jpg,ABD,What abnormality can be seen in the greater omentum?,PRES,OPEN,freeform,train,Omental caking,omental caking,"Hemorrhage or mass effect, edema, or other pathological changes in the brain parenchyma or surrounding tissues. (from the caption)
ASSISTant: Pathological condition affecting the brain tissue or surrounding","hemorrhage or mass effect, edema, or other pathological changes in the brain parenchyma or surrounding tissues. (from the caption)
assistant: pathological condition affecting the brain tissue or surrounding",False,False
813,synpic22310.jpg,ABD,Is this a contrast enhanced image?,MODALITY,CLOSED,freeform,train,Yes,yes,"No (not specified in the caption)
Answer with only yes or no.
ASSISTant: No (not specified in the caption)
ASSISTant: No (not specified in the caption)
ASSISTant:","no (not specified in the caption)
answer with only yes or no.
assistant: no (not specified in the caption)
assistant: no (not specified in the caption)
assistant:",False,True
814,synpic55317.jpg,HEAD,Is this an MRI?,MODALITY,CLOSED,freeform,train,yes,yes,"No (not specified in the caption)

Answer with only yes or no.
ASSISTant: No (not specified in the caption)

ASSISTant: No (not specified in the caption)

ASS","no (not specified in the caption)

answer with only yes or no.
assistant: no (not specified in the caption)

assistant: no (not specified in the caption)

ass",False,True
815,synpic31467.jpg,ABD,Is the width of the abdominal aorta within normal limits?,SIZE,CLOSED,freeform,train,No,no,No (abnormal),no (abnormal),False,True
816,synpic34854.jpg,HEAD,What type of MRI sequence is this?,MODALITY,OPEN,freeform,train,Diffusion Weighted Imaging (DWI),diffusion weighted imaging (dwi),"T2-weighted, T2-weighted with contrast, T1-weighted, T1-weighted with contrast, FLAIR (Fluorescence-assisted magnetic resonance imaging) (not shown)","t2-weighted, t2-weighted with contrast, t1-weighted, t1-weighted with contrast, flair (fluorescence-assisted magnetic resonance imaging) (not shown)",False,False
818,synpic21028.jpg,ABD,Is this image enhanced by contrast?,MODALITY,CLOSED,freeform,train,Yes,yes,"No (not specified in the caption)
Answer with only yes or no.
ASSISTant: No (not specified in the caption)
ASSISTant: No (not specified in the caption)
ASSISTant:","no (not specified in the caption)
answer with only yes or no.
assistant: no (not specified in the caption)
assistant: no (not specified in the caption)
assistant:",False,True
820,synpic51282.jpg,HEAD,What lobe of the brain is the lesion found in?,POS,OPEN,freeform,train,The right frontal lobe,the right frontal lobe,Cerebrum and cerebellum are adjacent to the lateral ventricles. The lesion is located in the cerebrum or cerebellum. (Not shown in the image.),cerebrum and cerebellum are adjacent to the lateral ventricles. the lesion is located in the cerebrum or cerebellum. (not shown in the image.),False,False
821,synpic21028.jpg,ABD,There is a mass found in which organ?,POS,OPEN,freeform,train,The pancreas,the pancreas,"Brain (cerebrum, cerebellum, brainstem) or spinal cord (cervical, thoracic, lumbar) or other structures in the brain or spinal cord pathway (ventricles,","brain (cerebrum, cerebellum, brainstem) or spinal cord (cervical, thoracic, lumbar) or other structures in the brain or spinal cord pathway (ventricles,",False,False
822,synpic22982.jpg,ABD,Does the appendix appear normal?,ABN,CLOSED,freeform,train,No,no,"No (normal)
ASSISTant: No (normal)
ASSISTant: No (normal)
ASSISTant: No (normal)","no (normal)
assistant: no (normal)
assistant: no (normal)
assistant: no (normal)",False,True
823,synpic35155.jpg,ABD,Was this a contrast CT or a non-contrast CT?,MODALITY,CLOSED,freeform,train,Contrast CT with GI and IV contrast,contrast ct with gi and iv contrast,"No (not specified in the caption)
Answer with only yes or no.
ASSISTant: No (not specified in the caption)
ASSISTant: No (not specified in the caption)
ASSISTant:","no (not specified in the caption)
answer with only yes or no.
assistant: no (not specified in the caption)
assistant: no (not specified in the caption)
assistant:",False,False
824,synpic55286.jpg,HEAD,Do we see diffuse cerebral edema in this MRI?,PRES,CLOSED,freeform,train,No,no,"No (not shown in the image)
Answer in a few words.
ASSISTENT: No (not shown in the image)
Answer in a few words.
ASSISTENT: No (not shown in the image)
Answer","no (not shown in the image)
answer in a few words.
assistent: no (not shown in the image)
answer in a few words.
assistent: no (not shown in the image)
answer",False,True
825,synpic100132.jpg,CHEST,What is the difference between the left and right costophrenic angles?,OTHER,OPEN,freeform,train,The left costophrenic angle is blunted,the left costophrenic angle is blunted,"Different density and texture, possibly different pathology or stage of disease progression (hemorrhage vs. mass effect) (not specified in the caption) (not specified in the caption) (not specified in the caption)","different density and texture, possibly different pathology or stage of disease progression (hemorrhage vs. mass effect) (not specified in the caption) (not specified in the caption) (not specified in the caption)",False,False
826,synpic27047.jpg,CHEST,Is there a clavicle fracture shown in this radiograph?,PRES,CLOSED,freeform,train,No,no,"No (not specified in the caption)
ASSISTENT:","no (not specified in the caption)
assistent:",False,True
827,synpic34854.jpg,HEAD,On which side of the brain is the infarction?,POS,OPEN,freeform,train,Right side,right side,"Right-center, upper-middle brain parenchyma, cerebellum, brainstem, cerebral cortex (white matter) (not shown) (not shown) (not shown) (not shown) (not","right-center, upper-middle brain parenchyma, cerebellum, brainstem, cerebral cortex (white matter) (not shown) (not shown) (not shown) (not shown) (not",False,False
828,synpic22684.jpg,ABD,There is a large enhancing mass growing from what organ in this CT scan?,PRES,OPEN,freeform,train,The left kidney,the left kidney,"Brain parenchyma, cerebellum, or brainstem (not specified in the caption) or other structures in the brain (not specified in the caption) or surrounding tissues (not specified in the caption)","brain parenchyma, cerebellum, or brainstem (not specified in the caption) or other structures in the brain (not specified in the caption) or surrounding tissues (not specified in the caption)",False,False
829,synpic16520.jpg,HEAD,Is this a contrast CT or a non-contrast CT?,MODALITY,CLOSED,freeform,train,Non-contrast CT,non-contrast ct,"No (not specified in the caption)
Answer with only yes or no.
ASSISTant: No (not specified in the caption)
Answer with only yes or no.
ASSISTant: No (not specified in the","no (not specified in the caption)
answer with only yes or no.
assistant: no (not specified in the caption)
answer with only yes or no.
assistant: no (not specified in the",False,False
830,synpic21037.jpg,CHEST,Does this patient have an endotracheal tube placed?,PRES,CLOSED,freeform,train,No,no,"No (not specified in the caption)
Answer in a few words.
ASSISTENT: No (not specified in the caption)
Answer in a few words.
ASSISTENT: No (not specified in the caption","no (not specified in the caption)
answer in a few words.
assistent: no (not specified in the caption)
answer in a few words.
assistent: no (not specified in the caption",False,True
831,synpic38858.jpg,HEAD,Which lobe of the brain demonstrates a hyper-intense signal in this T2 weighted MRI image?,POS,OPEN,freeform,train,The left occipital lobe,the left occipital lobe,"Cerebellum, brainstem, cerebral cortex (not shown) and cerebellar peduncle (not shown) are typically hyper-intense in T2 weighted images. However, the exact location of","cerebellum, brainstem, cerebral cortex (not shown) and cerebellar peduncle (not shown) are typically hyper-intense in t2 weighted images. however, the exact location of",False,False
832,synpic21037.jpg,CHEST,Does this CXR display pneumoperitoneum?,PRES,CLOSED,freeform,train,No,no,No,no,True,True
833,synpic35155.jpg,ABD,Is the appendix seen in this image ruptured?,PRES,CLOSED,freeform,train,No,no,"No (not specified in the caption)
ASSISTities: Disease process, inflammation, or other pathological changes within","no (not specified in the caption)
assistities: disease process, inflammation, or other pathological changes within",False,True
834,synpic22684.jpg,ABD,Can the liver be seen in this image?,PRES,CLOSED,freeform,train,Yes,yes,"No (not specified in the caption)
Answer with only yes or no.
ASSIST: No (not specified in the caption)
Answer with only yes or no.
ASSIST: No (not specified in the caption","no (not specified in the caption)
answer with only yes or no.
assist: no (not specified in the caption)
answer with only yes or no.
assist: no (not specified in the caption",False,True
835,synpic53635.jpg,ABD,What imaging modality is seen here?,MODALITY,OPEN,freeform,train,CT with GI and IV contrast,ct with gi and iv contrast,CT scan (not specified),ct scan (not specified),False,False
836,synpic48122.jpg,ABD,Can you see intraperitoneal bleeding in this CT?,PRES,CLOSED,freeform,train,No,no,"No (not shown in this specific image)
ASSISTENT:","no (not shown in this specific image)
assistent:",False,True
837,synpic22684.jpg,ABD,What vessel is seen just anterior to the spine enhancing with contrast?,PRES,OPEN,freeform,train,The aorta,the aorta,Brain veins and ventricles (cerebral hemispheres) (not shown) (not shown) (not shown) (not shown) (not shown) (not shown) (not shown) (not shown),brain veins and ventricles (cerebral hemispheres) (not shown) (not shown) (not shown) (not shown) (not shown) (not shown) (not shown) (not shown),False,False
838,synpic20208.jpg,ABD,What two large vessels are seen directly anterior to the spinal column?,PRES,OPEN,freeform,train,The aorta and the inferior vena cava,the aorta and the inferior vena cava,"Two large vessels (vena cavae magnae) are seen directly anterior to the spinal column. These vessels are not directly involved in the pathology, but their proximity to the affected area suggests that they may be affected by secondary","two large vessels (vena cavae magnae) are seen directly anterior to the spinal column. these vessels are not directly involved in the pathology, but their proximity to the affected area suggests that they may be affected by secondary",False,False
839,synpic35155.jpg,ABD,Is the appendix seen in this image inflamed?,PRES,CLOSED,freeform,train,Yes,yes,Yes (indicated by the presence of inflammation),yes (indicated by the presence of inflammation),False,True
841,synpic20208.jpg,ABD,Does this image display the contents of the abdomen?,ORGAN,CLOSED,freeform,train,yes,yes,No (,no (,False,False
842,synpic21037.jpg,CHEST,Which side of the image is the thoracic mass located on?,POS,OPEN,freeform,train,Left side,left side,"Right-center, upper-middle area of the image (middle of the brain) (not specified in the caption)
ASSISTities: Diffuse brain condition, hemorrhage, edema, mass effect, or other path","right-center, upper-middle area of the image (middle of the brain) (not specified in the caption)
assistities: diffuse brain condition, hemorrhage, edema, mass effect, or other path",False,False
843,synpic22982.jpg,ABD,Was contrast used with this image?,MODALITY,CLOSED,freeform,train,Yes,yes,"No (not specified in the caption)
Answer with only yes or no.
ASSISTant: No (not specified in the caption)
ASSISTant: No (not specified in the caption)
ASSISTant:","no (not specified in the caption)
answer with only yes or no.
assistant: no (not specified in the caption)
assistant: no (not specified in the caption)
assistant:",False,True
844,synpic21042.jpg,CHEST,Does this image show a pleural effusion?,PRES,CLOSED,freeform,train,No,no,Yes (indicated by the presence of blood),yes (indicated by the presence of blood),False,False
850,synpic45914.jpg,HEAD,Where is the bleed?,POS,OPEN,para,train,Subarachnoid,subarachnoid,"Brain parenchyma, upper-middle area, right-center, upper-middle area, lower-middle area, lower-middle area, lower-middle area, lower-middle area, lower-middle area, lower-middle area","brain parenchyma, upper-middle area, right-center, upper-middle area, lower-middle area, lower-middle area, lower-middle area, lower-middle area, lower-middle area, lower-middle area",False,False
851,synpic45914.jpg,HEAD,What kind of brain bleed is this?,PRES,OPEN,freeform,train,Subarachnoid,subarachnoid,"Subdural hematoma or blebs within the brain tissue itself (not a typical finding) or a related condition (e.g., vascular malformation) causing a secondary effect on the brain tissue.
ASSISTant","subdural hematoma or blebs within the brain tissue itself (not a typical finding) or a related condition (e.g., vascular malformation) causing a secondary effect on the brain tissue.
assistant",False,False
853,synpic54004.jpg,HEAD,Where is the enhancement in left rectus muscles?,POS,OPEN,para,train,Medial rectus,medial rectus,"Right-center, middle vertically, upper horizontally (indicated)
ASSISTENT: Right-center, middle vert","right-center, middle vertically, upper horizontally (indicated)
assistent: right-center, middle vert",False,False
854,synpic54004.jpg,HEAD,Which rectus muscles are enhanced on the left?,POS,OPEN,freeform,train,Medial rectus,medial rectus,"Lateral rectus muscles (LM) and medial rectus muscles (MR) on the left side of the brain. Right-center, middle-left, and left-center areas are also affected.
ASSISTENT: Right","lateral rectus muscles (lm) and medial rectus muscles (mr) on the left side of the brain. right-center, middle-left, and left-center areas are also affected.
assistent: right",False,True
855,synpic28180.jpg,ABD,How do you tell which side is R vs L?,OTHER,OPEN,freeform,train,Imagine the patient is laying down and you are looking from the feet,imagine the patient is laying down and you are looking from the feet,"Differences in density and texture can be observed. However, the exact side cannot be determined from the image. Further investigation would be required. (Note: The image does not provide enough information to confidently determine the exact side.)
ASSIST","differences in density and texture can be observed. however, the exact side cannot be determined from the image. further investigation would be required. (note: the image does not provide enough information to confidently determine the exact side.)
assist",False,False
856,synpic22156.jpg,ABD,How can you tell contrast has been give orally?,OTHER,OPEN,freeform,train,Bowel contents light up on image,bowel contents light up on image,Differences in density and texture can be observed. (,differences in density and texture can be observed. (,False,False
861,synpic22156.jpg,ABD,Is the Saggital plane?,PLANE,CLOSED,freeform,train,no,no,,,False,True
862,synpic17848.jpg,CHEST,What type of image is this?,MODALITY,OPEN,freeform,train,Chest xray,chest xray,CT scan (Computed Tomography) (Brain hemorrhage) (Intracranial hemorrhage) (Subdural hematoma) (Acute bleeding) (Chronic bleeding) (Hemorrhage,ct scan (computed tomography) (brain hemorrhage) (intracranial hemorrhage) (subdural hematoma) (acute bleeding) (chronic bleeding) (hemorrhage,False,False
863,synpic17848.jpg,CHEST,Is there evidence of pneumothorax?,PRES,CLOSED,freeform,train,No,no,No (not explicitly stated in the caption,no (not explicitly stated in the caption,False,True
864,synpic17848.jpg,CHEST,Is there a pneumothorax?,PRES,CLOSED,para,train,No,no,No (not explicitly stated in the caption,no (not explicitly stated in the caption,False,True
865,synpic54802.jpg,HEAD,What side are the infarcts located?,POS,OPEN,freeform,train,Bilateral,bilateral,"Left-center, upper-middle brain parenchyma, cerebellum, brainstem, cerebral cortex, white matter, ventricles, cerebral hemispheres, cerebellum,","left-center, upper-middle brain parenchyma, cerebellum, brainstem, cerebral cortex, white matter, ventricles, cerebral hemispheres, cerebellum,",False,False
866,synpic54802.jpg,HEAD,Where are the infarcts seen?,POS,OPEN,para,train,Bilateral,bilateral,"Brain parenchyma, cerebral cortex, cerebellum, brainstem, and spinal cord (not shown)
ASSISTant: Centrally located, occupying a large area of the brain","brain parenchyma, cerebral cortex, cerebellum, brainstem, and spinal cord (not shown)
assistant: centrally located, occupying a large area of the brain",False,False
867,synpic16407.jpg,CHEST,Are the pulmonary arteries enlarged?,SIZE,CLOSED,freeform,train,Yes,yes,Yes (indicated by the presence of blood),yes (indicated by the presence of blood),False,True
868,synpic16407.jpg,CHEST,Do the pulmonary arteries appear enlarged?,SIZE,CLOSED,para,train,Yes,yes,Yes (indicated by the presence of a blood-filled area),yes (indicated by the presence of a blood-filled area),False,True
869,synpic35191.jpg,HEAD,Is this an mri?,MODALITY,CLOSED,freeform,train,yes,yes,"No (not specified in the caption)
Answer with only yes or no.
ASSISTant: No (not specified in the caption)
Answer with only yes or no.
ASSISTant: No (not specified in the","no (not specified in the caption)
answer with only yes or no.
assistant: no (not specified in the caption)
answer with only yes or no.
assistant: no (not specified in the",False,True
870,synpic45634.jpg,HEAD,How would you describe the lesions?,ATTRIB,OPEN,para,train,Loculated,loculated,"Different density, texture, and size compared to surrounding brain tissue, possibly indicating a pathological process or condition affecting the brain tissue.","different density, texture, and size compared to surrounding brain tissue, possibly indicating a pathological process or condition affecting the brain tissue.",False,False
871,synpic45634.jpg,HEAD,What is one adjective to describe the lesion(s)?,ATTRIB,OPEN,freeform,train,Loculated,loculated,"Unusual appearance (texture and density) compared to surrounding brain tissue.
ASSISTive Technology: Hyperdense (brighter) region within the brain.
ASSISTive Technology: Differences in density and texture.","unusual appearance (texture and density) compared to surrounding brain tissue.
assistive technology: hyperdense (brighter) region within the brain.
assistive technology: differences in density and texture.",False,False
876,synpic35191.jpg,HEAD,Are the lesions in the cerebellum?,POS,CLOSED,freeform,train,yes,yes,"No (from caption)
ASSISTant: No (from caption)
ASSISTant: No (from caption)
ASSISTant","no (from caption)
assistant: no (from caption)
assistant: no (from caption)
assistant",False,False
877,synpic22097.jpg,CHEST,What kind of image is this?,MODALITY,OPEN,freeform,train,chest x Ray,chest x ray,CT scan (Computed Tomography) brain scan (Brain imaging) abnormality (Pathological condition) hemorrhage (Bleeding) subdural hematoma (Bleeding within the brain tissue) intrac,ct scan (computed tomography) brain scan (brain imaging) abnormality (pathological condition) hemorrhage (bleeding) subdural hematoma (bleeding within the brain tissue) intrac,False,False
878,synpic22097.jpg,CHEST,What modality is this?,MODALITY,OPEN,para,train,chest x Ray,chest x ray,CT scan (not specified in the caption),ct scan (not specified in the caption),False,False
879,synpic17848.jpg,CHEST,Are the findings normal?,ABN,CLOSED,para,train,No,no,No (normal brain,no (normal brain,False,True
880,synpic17848.jpg,CHEST,Is this a normal image?,ABN,CLOSED,freeform,train,No,no,"No (indicated by caption)

ASS","no (indicated by caption)

ass",False,True
881,synpic54004.jpg,HEAD,Where is the enhancement in right rectus muscles?,POS,OPEN,para,train,Medial and lateral rectus,medial and lateral rectus,"Right-center,","right-center,",False,False
